,imdbId,title,releaseYear,genre,actors,directors,hitFlop
478,tt0811066,Shootout at Lokhandwala,2007,Action | Crime | Drama,Sanjay Dutt | Amitabh Bachchan | Arbaaz Khan | Sunil Shetty,Apoorva Lakhia,5
479,tt0813539,Mr Prime Minister,2005,Comedy,Dev Anand | Prem Chopra | Milind Gunaji | A.K. Hangal,Dev Anand,1
480,tt0813540,Naksha,2006,Action | Adventure,Sunny Deol | Vivek Oberoi | Sameera Reddy | Jackie Shroff,Sachin Bajaj,1
481,tt0814014,Apne,2007,Drama | Sport,Dharmendra | Sunny Deol | Bobby Deol | Shilpa Shetty,Anil Sharma,4
482,tt0814082,Dil Diya Hai,2006,Drama | Romance | Thriller,Emraan Hashmi | Ashmit Patel | Geeta Basra | Mithun Chakraborty,Aditya Datt,1
483,tt0814158,Ishq Qayamat,2004,Thriller,Suman Ranganathan | Milind Gunaji | Deepak Jethi | Kashmira Shah,V. Menon,1
484,tt0814295,Rocky,2006,Action | Drama | Romance,Zayed Khan | Isha Sharvani | Minissha Lamba | Rajat Bedi,Suresh Krishna,1
485,tt0816657,Speed,2007,Action | Drama | Romance,Urmila Matondkar | Sanjay Suri | Zayed Khan | Aftab Shivdasani,Vikram Bhatt,1
486,tt0819810,Traffic Signal,2007,Drama,Kunal Khemu | Neetu Chandra | Upendra Limaye | Ranvir Shorey,Madhur Bhandarkar,4
487,tt0823261,Zindaggi Rocks,2006,Drama | Romance,Sushmita Sen | Shiney Ahuja | Julian Burkhardt | Ravi Gossain,Tanuja Chandra,1
488,tt0823451,Dus Kahaniyaan,2007,Adventure | Crime | Drama,Arbaaz Khan | Mandira Bedi | Sudhanshu Pandey | Jimmy Shergill,Jasmeet Dhodhi | Meghna Gulzar | Sanjay Gupta | Apoorva Lakhia | Hansal Mehta | Rohit Roy,1
489,tt0824316,Dor,2006,Drama,Ayesha Takia | Shreyas Talpade | Gul Panag | Girish Karnad,Nagesh Kukunoor,2
490,tt0824375,Nishabd,2007,Drama,Amitabh Bachchan | Jiah Khan | Revathy | Nasser,Ram Gopal Varma,2
491,tt0826165,Raja Bhai Lagey Raho...,2005,Comedy,Ravi Kishan | Rajeev Awasthi | Chittaranjan Giri | Arun Kumar,Dinesh D. Awasthi,1
492,tt0829200,Humein Tumse Pyar Ho Gaya Chupke Chupke,2003,Drama,Meghna Desai | Siddharth Dhawan | Dinesh Hingoo | Shakti Kapoor,Pramod Mandloi,1
493,tt0831816,Shiva,2006,Action | Crime | Drama,Mohit Ahlawat | Priyanka Kothari | Vinod Jaywant | Nagesh Bhonsle,Ram Gopal Varma,1
494,tt0831840,Ahista Ahista,2006,Drama | Romance,Abhay Deol | Soha Ali Khan | Shayan Munshi | Murad Ali,Shivam Nair,1
495,tt0832365,Stop!,2004,Comedy | Romance,Rocky Bhatia | Dia Mirza | Tejaswini Kolhapure | Gauri Karnik,Ajai Sinha,1
496,tt0833476,Jhoom Barabar Jhoom,2007,Comedy | Drama | Musical,Abhishek Bachchan | Preity Zinta | Bobby Deol | Lara Dutta,Shaad Ali,3
497,tt0833484,The Killer,2006,Action | Comedy | Crime,Irrfan Khan | Emraan Hashmi | Priyanka Kothari | Bharati Achrekar,Hasnain Hyderabadwala | Raksha Mistry,2
498,tt0833499,Mashooka,2005,Romance | Thriller,Aditya Bal | Meghna Naidu | Vidya Malvade,Afzal Ahmad,1
499,tt0833537,Souten: The Other Woman,2006,Thriller,Mahima Chaudhry | Padmini Kolhapure | Shakti Kapoor | Gulshan Grover,Karan Razdan,1
500,tt0833553,Ta Ra Rum Pum,2007,Comedy | Family | Romance,Saif Ali Khan | Rani Mukerji | Mayank Amin | Vic Aviles,Siddharth Anand,5
501,tt0833561,Woh Lamhe,2006,Biography | Drama | Romance,Kangana Ranaut | Shiney Ahuja | Shaad Randhawa | Purab Kohli,Mohit Suri,2
502,tt0839742,Bhopal: A Prayer for Rain,2014,Drama | History,Mischa Barton | Martin Sheen | Kal Penn | Rajpal Yadav,Ravi Kumar,1
503,tt0845448,Dhamaal,2007,Comedy,Sanjay Dutt | Ritesh Deshmukh | Arshad Warsi | Aashish Chaudhary,Indra Kumar,5
