,Actor,Top Genres
728,Ankur Vikal,"[('Crime', 1), ('Drama', 1)]"
729,Master Sagar Punjabi,"[('Crime', 1), ('Drama', 1), ('Sport', 1)]"
730,Sada,"[('Drama', 2), ('Comedy', 1), ('Fantasy', 1)]"
731,Shweta Agarwal,"[('Action', 1), ('Drama', 1), ('Horror', 1)]"
732,Anushka Sharma,"[('Drama', 8), ('Comedy', 7), ('Romance', 2)]"
733,Natasha Jain,"[('Drama', 1), ('Musical', 1), ('Romance', 1)]"
734,Manjari Phadnis,"[('Adventure', 3), ('Drama', 2), ('Romance', 2)]"
735,Sumona Chakravarti,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
736,Robert Lang,"[('Animation', 1)]"
737,Rajshree Choudhary,"[('Comedy', 1), ('Horror', 1), ('Romance', 1)]"
738,Anshuman Jha,"[('Comedy', 3), ('Crime', 2), ('Drama', 2)]"
739,Madhuri Bhattacharya,"[('Comedy', 2), ('Drama', 2), ('Action', 1)]"
740,Narendra Bedi,"[('Drama', 2), ('Action', 1), ('Romance', 1)]"
741,Chigusa Takaku,"[('Drama', 1), ('Romance', 1)]"
742,Nitin Anand,"[('Action', 1), ('Comedy', 1), ('Drama', 1)]"
743,Nikita Anand,"[('Drama', 2), ('Comedy', 1), ('Romance', 1)]"
744,Vivaan Shah,"[('Drama', 1), ('Action', 1), ('Mystery', 1)]"
745,Pradhuman Singh,"[('Comedy', 2), ('Drama', 1)]"
746,Haidar Ali,"[('Action', 1), ('Drama', 1), ('Mystery', 1)]"
747,Sharat Saxena,"[('Comedy', 6), ('Drama', 6), ('Action', 3)]"
748,Shalini Chandran,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
749,Iris Maity,"[('Action', 1), ('Romance', 1), ('Crime', 1)]"
750,Sara Loren,"[('Crime', 1), ('Thriller', 1), ('Drama', 1)]"
751,Manoylo Svitlana,"[('Drama', 1), ('Fantasy', 1), ('Horror', 1)]"
752,Sanjay Gandhi,"[('Drama', 2)]"
753,Aruna Shields,"[('Drama', 2), ('Action', 1), ('Crime', 1)]"
754,Mugdha Godse,"[('Drama', 4), ('Action', 1), ('Horror', 1)]"
755,Purab Kohli,"[('Drama', 5), ('Romance', 2), ('Comedy', 1)]"
756,Pavan Malhotra,"[('Drama', 4), ('Thriller', 2), ('History', 2)]"
757,Manav Kaul,"[('Drama', 3), ('Comedy', 1), ('Sport', 1)]"
758,Preeti Mehra,"[('Comedy', 1), ('Drama', 1)]"
759,Riya Sen,"[('Comedy', 4), ('Drama', 3), ('Musical', 1)]"
760,Neetu Singh,"[('Comedy', 2), ('Drama', 1), ('Romance', 1)]"
761,Munish Khan,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
762,Rahul Singh,"[('Drama', 2), ('Comedy', 1), ('Mystery', 1)]"
763,Kabir Bedi,"[('Drama', 4), ('Romance', 3), ('Action', 2)]"
764,Neha Sharma,"[('Drama', 4), ('Action', 3), ('Romance', 2)]"
765,Chitrangda Singh,"[('Drama', 3), ('Crime', 1), ('Romance', 1)]"
766,Nagesh Bhonsle,"[('Drama', 5), ('Action', 3), ('Crime', 2)]"
767,Abhro Banerjee,"[('Comedy', 1)]"
768,Sandeepa Dhar,"[('Comedy', 2), ('Drama', 1), ('Romance', 1)]"
769,Barry John,"[('Action', 1), ('Drama', 1), ('War', 1)]"
770,Krishna Bhatt,"[('Comedy', 2), ('Drama', 2), ('Animation', 1)]"
771,Raj Arjun,"[('Drama', 3), ('Action', 2), ('Thriller', 1)]"
772,Devasish Ray,"[('Thriller', 1)]"
773,Aditya Lakhia,"[('Action', 3), ('Adventure', 2), ('Animation', 1)]"
774,Swini Khara,"[('Action', 1), ('Drama', 1), ('Horror', 1)]"
775,Saurabh Shukla,"[('Comedy', 10), ('Drama', 8), ('Romance', 1)]"
776,Dheeraj Miglani,"[('Drama', 1), ('Romance', 1)]"
777,Parambrata Chatterjee,"[('Drama', 2), ('Comedy', 1), ('Mystery', 1)]"
778,Russell Geoffrey Banks,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
779,Arun,"[('Action', 1), ('Drama', 1)]"
780,Iravati Harshe,"[('Comedy', 1), ('Drama', 1), ('Family', 1)]"
781,Nargis Fakhri,"[('Music', 1), ('Action', 1), ('Musical', 1)]"
782,Chinmai Chandranshuh,"[('Comedy', 1), ('Drama', 1), ('Family', 1)]"
783,Preeti,"[('Romance', 1)]"
784,Farhan,"[('Romance', 1)]"
785,Rajvvir Aroraa,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
786,Pitobash,"[('Action', 1), ('Sci-Fi', 1), ('Crime', 1)]"
787,Noopur Patwardhan,"[('Romance', 1)]"
788,Johnny Lever,"[('Comedy', 4), ('Drama', 4), ('Musical', 2)]"
789,Abhay Joshi,"[('Drama', 2), ('Crime', 1), ('Mystery', 1)]"
790,Muzzi,"[('Action', 1), ('Comedy', 1), ('Crime', 1)]"
791,Madhavi Sharma,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
792,Zeenal Kamdar,"[('Comedy', 1)]"
793,Meghana Mudiyam,"[('Drama', 1), ('Romance', 1)]"
794,Avinash,"[('Action', 1), ('Adventure', 1), ('Fantasy', 1)]"
795,Bumpy,"[('Comedy', 1), ('Drama', 1)]"
796,Yana Gupta,"[('Drama', 2), ('Action', 1), ('Comedy', 1)]"
797,Puja Ballutia,"[('Drama', 1), ('Horror', 1), ('Mystery', 1)]"
798,Suresh Chatwal,"[('Drama', 2), ('Crime', 1), ('Comedy', 1)]"
799,Satyajeet Dubey,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
800,Gaurav Bajaj,"[('Action', 1), ('Comedy', 1), ('Crime', 1)]"
801,Sayali Bhagat,"[('Drama', 3), ('Comedy', 2), ('Horror', 1)]"
802,Kajal Agarwal,"[('Crime', 2), ('Drama', 2), ('Action', 1)]"
803,Radhika Apte,"[('Crime', 1), ('Drama', 1), ('Mystery', 1)]"
804,Richa Chadda,"[('Drama', 3), ('Crime', 2), ('Romance', 2)]"
805,Amit Behl,"[('Comedy', 1), ('Horror', 1), ('Musical', 1)]"
806,Mannat Ravi,"[('Comedy', 1), ('Drama', 1)]"
807,Makrand Shukla,"[('Drama', 1)]"
808,Siddharth Koirala,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
809,Isabelle Adjani,"[('Comedy', 1), ('Romance', 1)]"
810,Madhurima Banerjee,"[('Crime', 1), ('Comedy', 1), ('Drama', 1)]"
811,Ntasha Bhardwaj,"[('Drama', 1)]"
812,Sunny Hinduja,"[('Drama', 1), ('Sport', 1)]"
813,Apporva Arora,"[('Drama', 1)]"
814,Kasturi Banerjee,"[('Drama', 1), ('Mystery', 1), ('Romance', 1)]"
815,Sanjana Tiwari,"[('Comedy', 1), ('Drama', 1)]"
816,Candice Boucher,"[('Action', 1), ('Drama', 1), ('Mystery', 1)]"
817,Ankita Bhargava,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
818,Pushkar Jog,"[('Drama', 1)]"
819,Saba Azaad,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
820,Sushmita Mukherjee,"[('Animation', 2), ('Adventure', 1), ('Drama', 1)]"
821,Aditi Rao Hydari,"[('Thriller', 2), ('Romance', 1), ('Crime', 1)]"
822,Rucha Gujrati,"[('Crime', 1), ('Drama', 1), ('Mystery', 1)]"
823,Pratik Katare,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
824,Simran Kaur Mundi,"[('Romance', 2), ('Drama', 1), ('Comedy', 1)]"
825,Amy Jackson,"[('Romance', 1)]"
826,Shweta Menon,"[('Drama', 2), ('Thriller', 1), ('Horror', 1)]"
827,Ranjeeta Kaur,"[('Romance', 1), ('Drama', 1)]"
828,Reetu Jain,"[('Comedy', 1), ('Crime', 1)]"
829,Ronjini Chakraborty,"[('Comedy', 1), ('Romance', 1)]"
830,Rana Daggubati,"[('Action', 2), ('Crime', 1), ('Drama', 1)]"
831,Huma Qureshi,"[('Comedy', 2), ('Romance', 2), ('Horror', 1)]"
832,Sahaj Bradoria,"[('Drama', 1)]"
833,Roy Radhika,"[('Drama', 1), ('Thriller', 1)]"
834,Anant Mahadevan,"[('Drama', 1), ('Thriller', 1)]"
835,Helen,"[('Romance', 2), ('Comedy', 1), ('Horror', 1)]"
836,Kuldeep Chaturvedi,"[('Action', 1), ('War', 1)]"
837,Shraddha Kapoor,"[('Drama', 4), ('Crime', 1), ('Comedy', 1)]"
838,Reema Debnath,"[('Horror', 1)]"
839,Digvijay Deshmukh,"[('Drama', 1), ('Sport', 1)]"
840,Sandeep Bose,"[('Drama', 1)]"
841,Shenaz Treasury,"[('Comedy', 3), ('Romance', 2), ('Crime', 1)]"
842,Brijendra Kala,"[('Drama', 2), ('Comedy', 1), ('Sci-Fi', 1)]"
843,Ali Fazal,"[('Comedy', 4), ('Drama', 4), ('Romance', 2)]"
844,Zarine Ali,"[('Horror', 1)]"
845,Priya Annatram,"[('History', 1)]"
846,Ashish Patil,"[('Sci-Fi', 1)]"
847,Sumeet Sharma,"[('Adventure', 2), ('Horror', 2), ('Mystery', 2)]"
848,Prithviraj Sukumaran,"[('Comedy', 1), ('Action', 1), ('Drama', 1)]"
849,Aditya Pancholi,"[('Action', 2), ('Thriller', 1), ('Romance', 1)]"
850,Shailesh Hejmady,"[('Comedy', 1), ('Drama', 1), ('Mystery', 1)]"
851,Manish Vatsalya,"[('Drama', 1)]"
852,Syna Anand,"[('Drama', 1)]"
853,Parineeti Chopra,"[('Drama', 5), ('Comedy', 4), ('Romance', 4)]"
854,Sana Govil,"[('Comedy', 1)]"
855,Ettienne Couthino,"[('Animation', 1), ('Drama', 1), ('Musical', 1)]"
856,Yami Gautam,"[('Comedy', 2), ('Romance', 2), ('Drama', 1)]"
857,Arshad Khan,"[('Crime', 1), ('Thriller', 1)]"
858,Viren Basoya,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
859,Harish Bhimani,"[('Animation', 1), ('Action', 1), ('Adventure', 1)]"
860,Priya Bhatija,"[('Comedy', 1), ('Drama', 1), ('Thriller', 1)]"
861,Kunaal Roy Kapur,"[('Comedy', 2), ('Crime', 1), ('Drama', 1)]"
862,Balaji Iyer,"[('Drama', 1)]"
863,Tamannaah Bhatia,"[('Comedy', 2), ('Action', 1), ('Romance', 1)]"
864,Nimrat Kaur,"[('Drama', 1), ('Romance', 1)]"
865,Raja Hasan,"[('Musical', 1), ('Romance', 1), ('Thriller', 1)]"
866,Dhanshree Jain,"[('Drama', 1)]"
867,Nidhi Subbaiah,"[('Romance', 1)]"
868,Girish Taurani,"[('Comedy', 1), ('Family', 1), ('Romance', 1)]"
869,Yaman Chatwal,"[('Horror', 1), ('Mystery', 1), ('Thriller', 1)]"
870,Tannishtha Chatterjee,"[('Drama', 1), ('Family', 1), ('Mystery', 1)]"
871,Kshitee Jog,"[('Drama', 1), ('Family', 1)]"
872,Arfi Lamba,"[('Mystery', 1), ('Romance', 1), ('Thriller', 1)]"
873,Paru Gambhir,"[('Short', 1), ('Drama', 1)]"
874,Shilpa Anand,"[('Romance', 1)]"
875,Ramnita Chaudhry,"[('Drama', 1)]"
876,Nitin Jadhav,"[('Horror', 1)]"
877,Simer Motiani,"[('Drama', 1), ('Romance', 1), ('Sport', 1)]"
878,Prakash Raj,"[('Drama', 5), ('Action', 5), ('Comedy', 3)]"
879,Nishant Balgovind,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
880,Pallavi Sharda,"[('Comedy', 1), ('Romance', 1)]"
881,Catherine Fallows,"[('Comedy', 1), ('Drama', 1)]"
882,Devyani,"[('Drama', 1), ('Mystery', 1), ('Thriller', 1)]"
883,Eijaz Khan,"[('Comedy', 2), ('Drama', 1), ('Romance', 1)]"
884,Sweety Chhabra,"[('Romance', 1), ('Comedy', 1)]"
885,Neelima Azim,"[('Thriller', 1), ('Drama', 1)]"
886,Ileana,"[('Comedy', 4), ('Action', 2), ('Romance', 2)]"
887,Luke Kenny,"[('Drama', 2), ('Horror', 1), ('Music', 1)]"
888,Mayank Tewari,"[('Comedy', 1), ('Romance', 1)]"
889,Karanvir Bohra,"[('Horror', 1)]"
890,Anupam Maanav,"[('Drama', 1)]"
891,Dean Alexandrou,"[('Comedy', 1), ('Thriller', 1)]"
892,Chutki,"[('Animation', 1), ('Adventure', 1), ('Fantasy', 1)]"
893,Arbaz Kadwani,"[('Comedy', 1), ('Drama', 1)]"
894,Paresh Ganatra,"[('Sci-Fi', 1), ('Action', 1), ('Comedy', 1)]"
895,Vishwa S. Badola,"[('Comedy', 1), ('Drama', 1)]"
896,Prachi Desai,"[('Drama', 3), ('Comedy', 2), ('Action', 1)]"
897,Yuvraj Haral,"[('Drama', 1), ('Romance', 1)]"
898,Preeti Desai,"[('Drama', 2), ('Comedy', 1), ('Crime', 1)]"
899,Izabelle Liete,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
900,Ram Kapoor,"[('Drama', 3), ('Comedy', 3), ('Romance', 2)]"
901,Zachary Coffin,"[('Biography', 1), ('Drama', 1), ('Sport', 1)]"
902,Ajaz Khan,"[('Crime', 1)]"
903,Mishti,"[('Drama', 1), ('Musical', 1), ('Romance', 1)]"
904,Nikhil Desai,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
905,Sapna Choubisa,"[('Drama', 1)]"
906,Karan Ashar,"[('Drama', 1)]"
907,Sharvanand,"[('Crime', 1)]"
908,Jitin Gulati,"[('Adventure', 1), ('Thriller', 1)]"
909,Kriti Sanon,"[('Action', 1), ('Romance', 1)]"
910,Pragathi Yadhati,"[('Thriller', 1)]"
911,Ravish Desai,"[('Horror', 1)]"
912,Umesh Gautam,"[('Comedy', 1)]"
913,Salim Khan,"[('Romance', 1)]"
914,Aparajit Bhattacharjee,"[('Drama', 1)]"
915,Arsh Deol,"[('Comedy', 1)]"
916,Neha Baam,"[('Drama', 1)]"
917,Pragya Jaiswal,"[('Comedy', 1)]"
918,Vivaan Bhimani,"[('Animation', 1)]"
919,Ariana Ayam,"[('Drama', 1), ('Family', 1), ('Romance', 1)]"
920,Naresh Gosain,"[('Comedy', 2), ('Drama', 2), ('Adventure', 1)]"
921,Vivek Bhatnagar,"[('Drama', 1), ('Romance', 1)]"
922,Hasleen Kaur,"[('Action', 1), ('Romance', 1)]"
923,Bilal Amrohi,"[('Comedy', 1), ('Drama', 1)]"
924,Tarun Dudeja,"[('Drama', 1), ('Thriller', 1)]"
925,Tahir Raj Bhasin,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
926,Chinmay Mandlekar,"[('Drama', 1), ('Musical', 1)]"
927,Rajeev Verma,"[('Sci-Fi', 1), ('Drama', 1), ('Musical', 1)]"
928,Bugs Bhargava,"[('Drama', 1), ('Family', 1), ('Sport', 1)]"
929,Jasleen Matharu,"[('Thriller', 1)]"
930,Keeya Khanna,"[('Comedy', 1)]"
931,Rishabh Chaddha,"[('Comedy', 1), ('Romance', 1)]"
932,Shashi Wadia,"[('Thriller', 1)]"
933,Shroff Jackie,"[('Drama', 1), ('Musical', 1), ('Romance', 1)]"
934,Sunny Singh,"[('Horror', 1)]"
935,Prachi Sinha,"[('Action', 1)]"
936,Surveen Chawla,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
937,Imran Abbas,"[('Horror', 1), ('Sci-Fi', 1)]"
938,Ajay Bhandari,"[('Mystery', 1)]"
939,Yo Yo Honey Singh,"[('Thriller', 1), ('Action', 1)]"
940,Tanvi Azmi,"[('Comedy', 2), ('Drama', 2), ('Romance', 2)]"
941,Param Baidwaan,"[('Drama', 1)]"
942,Mohit Marwah,"[('Drama', 1), ('Thriller', 1)]"
943,Mallhar Goenka,"[('Drama', 1), ('Thriller', 1)]"
944,Deeksha Seth,"[('Comedy', 1), ('Romance', 1)]"
945,Parvathy Omanakuttan,"[('Horror', 1), ('Thriller', 1)]"
946,Amrit Maghera,"[('Drama', 1), ('Musical', 1)]"
947,Anindita Nayar,"[('Romance', 2), ('Comedy', 1), ('Horror', 1)]"
948,Lisa Haydon,"[('Comedy', 3), ('Adventure', 1), ('Action', 1)]"
949,Jay Bhanushali,"[('Action', 1), ('Drama', 1), ('Romance', 1)]"
950,Nancy Brunetta,"[('Comedy', 1), ('Romance', 1)]"
951,Mansha Bahl,"[('Action', 1)]"
952,Harshvardhan Deo,"[('Drama', 1)]"
953,Piaa Bajpai,"[('Comedy', 1), ('Romance', 1)]"
954,Rajsekhar Aningi,"[('nan', 1)]"
955,Suzanna Mukherjee,"[('Horror', 1), ('Romance', 1)]"
956,Ekavali Khanna,"[('nan', 1)]"
957,Mohan Kapoor,"[('Thriller', 1), ('Drama', 1), ('Musical', 1)]"
958,Rachel Shelley,"[('Adventure', 1), ('Drama', 1), ('Musical', 1)]"
959,Shammi Kapoor,"[('Musical', 2), ('Music', 1), ('Romance', 1)]"
960,Pooja Batra,"[('Drama', 3), ('Action', 2), ('Romance', 2)]"
961,Twinkle Khanna,"[('Comedy', 1)]"
962,Marisa Tomei,"[('Comedy', 1), ('Fantasy', 1), ('Music', 1)]"
963,Kannu Gill,"[('Thriller', 1)]"
964,Amrish Puri,"[('Drama', 9), ('Romance', 7), ('Action', 5)]"
965,Vilas Ujawane,"[('Romance', 1)]"
966,Kanchan,"[('Drama', 1)]"
967,Apoorva Agnihotri,"[('Musical', 1), ('Adventure', 1), ('Thriller', 1)]"
968,Vekeana Dhillon,"[('Documentary', 1)]"
969,Kalpana Pandit,"[('Drama', 1), ('Thriller', 1)]"
970,Nagesh Haldankar,"[('Drama', 1)]"
971,Tom Alter,"[('Biography', 1), ('Drama', 1)]"
972,Nasir Khan,"[('Action', 1), ('Romance', 1)]"
973,Vineeta Malik,"[('Drama', 2), ('Thriller', 1), ('War', 1)]"
974,Satish Shah,"[('Drama', 8), ('Comedy', 6), ('Romance', 6)]"
975,Jayaprakash,"[('Action', 1), ('Crime', 1)]"
976,Abbas,"[('Musical', 1), ('Action', 1)]"
977,Sheeba Bhakri,"[('Musical', 1), ('Drama', 1), ('Romance', 1)]"
978,Chunky Pandey,"[('Drama', 4), ('Comedy', 3), ('Adventure', 2)]"
979,D. Santosh,"[('Biography', 1), ('Drama', 1), ('History', 1)]"
980,Amrita Singh,"[('Drama', 3), ('Romance', 2), ('Biography', 1)]"
981,Rohini Hattangadi,"[('Drama', 3), ('Comedy', 2), ('Action', 1)]"
982,Adi Irani,"[('Romance', 2), ('Drama', 2), ('Action', 1)]"
983,Rinke Khanna,"[('Romance', 2), ('Comedy', 2), ('Drama', 1)]"
984,Tanuja,"[('Drama', 1), ('Romance', 1)]"
985,Naved Aslam,"[('Drama', 2), ('Action', 1), ('Thriller', 1)]"
986,Aditya Seal,"[('Comedy', 1), ('Drama', 1), ('Fantasy', 1)]"
987,Achint Kaur,"[('Drama', 3), ('Romance', 2), ('Thriller', 2)]"
988,Vaibhav Jhalani,"[('Comedy', 1), ('Romance', 1)]"
989,Shekhar Suman,"[('Comedy', 2), ('Action', 1), ('Thriller', 1)]"
990,Preeti Jhangiani,"[('Comedy', 2), ('Thriller', 2), ('Action', 2)]"
991,Ashish Vidyarthi,"[('Action', 2), ('Family', 2), ('Drama', 1)]"
992,Inder Kumar,"[('Drama', 2), ('Action', 1), ('Crime', 1)]"
993,Shri Vallabh Vyas,"[('Drama', 3), ('Crime', 2), ('Action', 1)]"
994,Jas Arora,"[('Drama', 2), ('Crime', 1), ('Romance', 1)]"
995,Shoib Khan,"[('Drama', 1)]"
996,Toby Stephens,"[('Biography', 1), ('Drama', 1), ('History', 1)]"
997,Neelu Kohli,"[('Drama', 2), ('Family', 1), ('Musical', 1)]"
998,Supriya Karnik,"[('Romance', 2), ('Mystery', 1)]"
999,Crystal,"[('Action', 1), ('Comedy', 1), ('Drama', 1)]"
1000,Suchitra Pillai-Malik,"[('Thriller', 1)]"
1001,Shivaji Satam,"[('Drama', 1), ('Romance', 1), ('Musical', 1)]"
1002,Adyasha,"[('Drama', 1)]"
1003,Joy Fernandes,"[('Crime', 1), ('Fantasy', 1), ('Thriller', 1)]"
1004,Aslam Khan,"[('Comedy', 1)]"
1005,Amit Hingorani,"[('Crime', 1), ('Romance', 1)]"
1006,Nadira Babbar,"[('Romance', 1), ('Drama', 1)]"
1007,Kishori Balal,"[('Drama', 1)]"
1008,Subhendu Chatterjee,"[('Drama', 1)]"
1009,Mukesh Tiwari,"[('Drama', 5), ('Action', 5), ('Romance', 2)]"
1010,Ajay Jadeja,"[('Action', 1), ('Thriller', 1)]"
1011,Brij Gopal,"[('Action', 2), ('Crime', 1)]"
1012,Amitabh Dayal,"[('Crime', 1), ('Drama', 1)]"
1013,Scott Hinds,"[('Action', 1)]"
1014,Anil Chaudhary,"[('Comedy', 1)]"
1015,Tushar Dalvi,"[('Thriller', 1)]"
1016,Navneet Nishan,"[('Drama', 1)]"
1017,Vidya Malvade,"[('Drama', 5), ('Romance', 3), ('Crime', 2)]"
1018,Kajal Chakraborty,"[('Comedy', 1), ('Drama', 1)]"
1019,Gaurav Chanana,"[('Romance', 2), ('Comedy', 1)]"
1020,Sandhya Mridul,"[('Comedy', 3), ('Drama', 2), ('Romance', 2)]"
1021,Poonam Jhawer,"[('Drama', 1)]"
1022,Poornima Pathwardhan,"[('Drama', 1), ('History', 1), ('Romance', 1)]"
1023,Feroz,"[('Comedy', 1)]"
1024,Charlie,"[('Comedy', 1)]"
1025,Mohan Gokhale,"[('Romance', 1)]"
1026,Antonia Bernath,"[('Drama', 1), ('Musical', 1), ('Romance', 1)]"
1027,Madina,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
1028,Ikhlaq Khan,"[('Fantasy', 1)]"
1029,Brinda Karat,"[('Drama', 1)]"
1030,Kasam,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
1031,Anuj Gurwara,"[('Drama', 1), ('Comedy', 1)]"
1032,Ayub Khan,"[('Drama', 4), ('Crime', 2), ('Comedy', 1)]"
1033,Yash Tonk,"[('Comedy', 4), ('Drama', 3), ('Action', 2)]"
1034,Amit Pachori,"[('Action', 1), ('Horror', 1)]"
1035,Amin Gazi,"[('Comedy', 1), ('Drama', 1)]"
1036,Reema Lagoo,"[('Romance', 1), ('Action', 1), ('Crime', 1)]"
1037,Navin Nischol,"[('Action', 1), ('Crime', 1), ('Fantasy', 1)]"
1038,Shriya Saran,"[('Drama', 2), ('Musical', 1), ('Action', 1)]"
1039,Gary Castro Churchwell,"[('Action', 1)]"
1040,Rajiv Singh,"[('Thriller', 1)]"
1041,Roshni Chopra,"[('Comedy', 1), ('Drama', 1), ('Mystery', 1)]"
1042,Vikas Bhalla,"[('Comedy', 1), ('Drama', 1), ('Musical', 1)]"
1043,Rita Bhaduri,"[('Drama', 3), ('Thriller', 1), ('Comedy', 1)]"
1044,Karan Sharma,"[('Romance', 1)]"
1045,Bharat Dabholkar,"[('Romance', 2), ('Crime', 1), ('Action', 1)]"
1046,Jayapradha,"[('Drama', 1)]"
1047,Niju Mavani,"[('Drama', 1), ('Romance', 1), ('Thriller', 1)]"
1048,Bhumika Puri,"[('Musical', 1)]"
1049,Seema Rahmani,"[('Drama', 1), ('Romance', 1)]"
1050,Nandana Sen,"[('Thriller', 1), ('Action', 1), ('Crime', 1)]"
1051,Manoj Pahwa,"[('Comedy', 1), ('Drama', 1)]"
1052,Koel Purie,"[('Thriller', 1), ('Comedy', 1), ('Drama', 1)]"
1053,Bhumika,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
1054,Divya Desai,"[('Drama', 1)]"
1055,Jack Gaud,"[('Action', 1)]"
1056,Mahesh Anand,"[('Comedy', 1), ('Family', 1), ('Romance', 1)]"
1057,Roshini Jaffery,"[('Action', 1), ('Crime', 1)]"
1058,Ghanshyam Rohera,"[('Horror', 1)]"
1059,Raza Murad,"[('Crime', 3), ('Action', 1), ('Drama', 1)]"
1060,Chaitanya Chaudhary,"[('Crime', 1), ('Drama', 1)]"
1061,Iqbal Khan,"[('Action', 1), ('Drama', 1)]"
1062,Dolly,"[('Mystery', 1)]"
1063,Aliza,"[('Drama', 1), ('Thriller', 1)]"
1064,Mukesh Khanna,"[('Animation', 1)]"
1065,Dipannita Sharma,"[('Drama', 3), ('Comedy', 2), ('Horror', 1)]"
1066,Kanksha,"[('Drama', 1), ('Horror', 1), ('Mystery', 1)]"
1067,Durgesh Nandni,"[('Action', 1)]"
1068,Prithvi Zutshi,"[('Romance', 1), ('Drama', 1), ('Thriller', 1)]"
1069,Mangala Kenkre,"[('Comedy', 1)]"
1070,Smiley Suri,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
1071,Salman Shahid,"[('Comedy', 2), ('Drama', 2), ('Action', 1)]"
1072,Deepak Jethi,"[('Thriller', 1)]"
1073,Julian Burkhardt,"[('Drama', 1), ('Romance', 1)]"
1074,Chittaranjan Giri,"[('Comedy', 1)]"
1075,Vinod Jaywant,"[('Action', 2), ('Crime', 1), ('Adventure', 1)]"
1076,Shayan Munshi,"[('Drama', 1), ('Romance', 1)]"
1077,Tejaswini Kolhapure,"[('Comedy', 1), ('Romance', 1)]"
1078,Mayank Amin,"[('Comedy', 1), ('Family', 1), ('Romance', 1)]"
1079,Shaad Randhawa,"[('Drama', 3), ('Biography', 1), ('Horror', 1)]"
1080,Kal Penn,"[('Drama', 1), ('History', 1)]"
1081,Ashima Bhalla,"[('Thriller', 1)]"
1082,Sagar Chawla,"[('Drama', 1), ('Romance', 1)]"
1083,Bruce Dern,"[('Comedy', 1), ('Romance', 1)]"
1084,Karan Hukka,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
1085,Simran Singh,"[('Crime', 1), ('Drama', 1), ('Family', 1)]"
1086,Rutika Singh,"[('Action', 1), ('Crime', 1), ('Musical', 1)]"
1087,Tanay Chheda,"[('Drama', 1), ('Family', 1)]"
1088,Kamini Khanna,"[('Drama', 1), ('Romance', 1)]"
1089,Amit Mistry,"[('Adventure', 1), ('Comedy', 1), ('Crime', 1)]"
1090,Chandan Anand,"[('Comedy', 1), ('Drama', 1), ('Family', 1)]"
1091,J. Brandon Hill,"[('Drama', 2), ('Action', 1), ('Crime', 1)]"
1092,Urvashi Sharma,"[('Crime', 2), ('Drama', 2), ('Action', 1)]"
1093,Sumeet Raghvan,"[('Romance', 2), ('Comedy', 1), ('Action', 1)]"
1094,Zahid Ali,"[('Crime', 1), ('Drama', 1), ('Thriller', 1)]"
1095,Ashwini Khalsekar,"[('Drama', 3), ('Thriller', 2), ('Crime', 1)]"
1096,Aushima Sawhney,"[('Drama', 2), ('Romance', 2), ('Action', 1)]"
1097,Robin Bhatt,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
1098,Puja Gupta,"[('Drama', 2), ('Comedy', 1), ('Action', 1)]"
1099,Smriti Mishra,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
1100,Vishal Malhotra,"[('Comedy', 2), ('Romance', 2), ('Drama', 1)]"
1101,Gaurav Dixit,"[('Romance', 1)]"
1102,Neha Pendse,"[('Drama', 1), ('Romance', 1)]"
1103,Alisha Chinoi,"[('Comedy', 1), ('Drama', 1)]"
1104,Ishita Chauhan,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
1105,Prem Chabra,"[('Crime', 1)]"
1106,Denise Richards,"[('Action', 1), ('Comedy', 1), ('Romance', 1)]"
1107,Shweta Kumar,"[('Action', 1), ('Drama', 1), ('Musical', 1)]"
1108,Vijay Maurya,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
1109,Mike Hussey,"[('Drama', 1), ('Sport', 1)]"
1110,Troy Baker,"[('Animation', 1)]"
